ID,Job_Title,Estimated_Salary_in_USD,Lower_Salary_in_Thousand_$,Upper_Salary_in_Thousand_$,Avg_Salary(in 1000 USD),Job_City,Job_State,Headquarters_City,Headquaters_State,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,Lower_Salary,Upper_Salary,Avg_Salary_in_k,company_txt,Job_Location,Age,Python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Avg_Salary_in_k,degree_new
10,Data Scientist,126K-201K,126,201,163.5,San Jose, CA,San Francisco, CA,501 - 1000,2011,Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1,126,201,163.5,Wish,CA,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,na,163.5,M
11,Data Scientist,64K-106K,64,106,85,Chantilly, VA,Herndon, VA,5001 - 10000,1968,Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,64,106,85,ManTech,VA,56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,Jr,na,85,Fresher
12,Staff Data Scientist - Technology,106K-172K,106,172,139,Plano, TX,Bentonville, AR,10000+,1962,Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",106,172,139,Walmart,TX,45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,Sr,M,139,M
13,Data Analyst,46K-85K,46,85,65.5,Seattle, WA,Seattle, WA,201 - 500,2012,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,46,85,65.5,Yesler,WA,57,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,Jr,na,65.5,Fresher
14,Data Scientist,83K-144K,83,144,113.5,Cambridge, MA,OSAKA, Japan,10000+,1781,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",83,144,113.5,Takeda Pharmaceuticals,MA,57,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,data scientist,Jr,M,113.5,M
15,Data Engineer I,102K-190K,102,190,146,Newark, NJ,Newark, NJ,1001 - 5000,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1,102,190,146,Audible,NJ,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,Sr,na,146,M
16,"Scientist I/II, Biology",67K-137K,67,137,102,Cambridge, MA,Cambridge, MA,51 - 200,2011,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",67,137,102,Blueprint Medicines,MA,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,Jr,P,102,P
17,Customer Data Scientist,118K-189K,118,189,153.5,Mountain View, CA,Mountain View, CA,201 - 500,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,118,189,153.5,h2o.ai,CA,43,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,data scientist,Sr,M,153.5,M
18,Data Scientist - Health Data Analytics,110K-175K,110,175,142.5,San Francisco, CA,San Francisco, CA,51 - 200,2010,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,110,175,142.5,Nuna,CA,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,na,142.5,M
19,Data Scientist,64K-111K,64,111,87.5,Denver, CO,Denver, CO,501 - 1000,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,64,111,87.5,Pinnacol Assurance,CO,29,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,data scientist,Jr,M,87.5,M
20,Data Scientist,81K-130K,81,130,105.5,Seattle, WA,Seattle, WA,201 - 500,2012,Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",81,130,105.5,Porch,WA,56,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,M,105.5,M
21,Senior Data Scientist / Machine Learning,73K-119K,73,119,96,Dallas, TX,Mountain View, CA,201 - 500,2013,Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,73,119,96,Health IQ,TX,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,P,96,P
22,Data Scientist - Quantitative,86K-139K,86,139,112.5,Chicago, IL,New Plymouth, ID,501 - 1000,1995,Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,86,139,112.5,Truckstop.com,IL,58,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,data scientist,Jr,M,112.5,M
23,Data Scientist,63K-105K,63,105,84,Louisville, KY,Peachtree City, GA,51 - 200,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1,63,105,84,SMC 3,KY,33,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,Jr,M,84,M
25,Data Scientist,109K-177K,109,177,143,Herndon, VA,Mc Lean, VA,501 - 1000,2012,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",109,177,143,Novetta,VA,44,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,data scientist,Sr,na,143,M
26,Digital Health Data Scientist,63K-110K,63,110,86.5,Cambridge, MA,New York, NY,10000+,1849,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,63,110,86.5,Pfizer,MA,43,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,na,86.5,P
27,Data Scientist,75K-124K,75,124,99.5,Hillsboro, OR,San Jose, CA,1001 - 5000,1952,Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,75,124,99.5,First Tech Federal Credit Union,OR,28,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,data scientist,Jr,na,99.5,P
28,Associate Data Analyst,34K-61K,34,61,47.5,Worcester, MA,Worcester, MA,5001 - 10000,1852,Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,34,61,47.5,The Hanover Insurance Group,MA,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,Jr,na,47.5,Fresher
29,Clinical Data Scientist,63K-105K,63,105,84,Groton, CT,New York, NY,10000+,1849,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,63,105,84,Pfizer,CT,45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,M,84,M
30,Data Scientist,80K-90K,80,90,85,Clearwater, FL,Clearwater, FL,501 - 1000,2010,Private,Security Services,Business Services,$100 to $500 million (USD),-1,80,90,85,KnowBe4,FL,54,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,M,85,M
31,Data Scientist,56K-97K,56,97,76.5,Richland, WA,Richland, WA,1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",56,97,76.5,PNNL,WA,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,na,76.5,Fresher
32,Data Scientist,72K-120K,72,120,96,Detroit, MI,Detroit, MI,1001 - 5000,1997,Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,72,120,96,Amrock,MI,50,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,M,96,M
33,Data Scientist / Machine Learning Expert,86K-143K,86,143,114.5,Cambridge, MA,Basel, Switzerland,10000+,1996,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,86,143,114.5,Novartis,MA,36,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,data scientist,Sr,na,114.5,M
34,Data Scientist,93K-149K,93,149,121,Sunnyvale, CA,Sunnyvale, CA,5001 - 10000,1996,Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,93,149,121,Juniper Networks,CA,39,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,data scientist,Sr,M,121,M
35,Data Scientist,85K-140K,85,140,112.5,Ipswich, MA,Ipswich, MA,201 - 500,1974,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",85,140,112.5,New England Biolabs,MA,36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,na,112.5,P
36,Web Data Analyst,77K-135K,77,135,106,San Jose, CA,Chicago, IL,201 - 500,2008,Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,77,135,106,Clarity Insights,CA,44,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,Jr,na,106,P
37,Data Scientist,82K-132K,82,132,107,Redlands, CA,Redlands, CA,1001 - 5000,1969,Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,82,132,107,Esri,CA,55,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,data scientist,Jr,M,107,M
38,Data Scientist,83K-137K,83,137,110,Woburn, MA,Woburn, MA,201 - 500,2010,Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,83,137,110,Systems & Technology Research,MA,31,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,data scientist,Jr,P,110,P
39,Senior Data Scientist,115K-180K,115,180,147.5,Fremont, CA,Gottingen, Germany,5001 - 10000,1870,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,115,180,147.5,Sartorius,CA,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,M,147.5,M
40,Data Engineer,74K-138K,74,138,106,Long Beach, NY,Long Beach, NY,201 - 500,1985,Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,74,138,106,Lancer Insurance,NY,42,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,Jr,M,106,M
41,Data Analyst,64K-112K,64,112,88,San Francisco, CA,San Francisco, CA,201 - 500,2008,Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",64,112,88,Sauce Labs,CA,58,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,analyst,Jr,na,88,P
43,Data Engineer,68K-129K,68,129,98.5,Marlborough, MA,Lowell, MA,Jan-50,-1,Private,-1,-1,Less than $1 million (USD),-1,68,129,98.5,Persivia,MA,59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,Jr,na,98.5,P
44,Data Scientist - Algorithms & Inference,110K-175K,110,175,142.5,San Francisco, CA,San Francisco, CA,51 - 200,2010,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,110,175,142.5,Nuna,CA,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,M,142.5,M
45,Scientist,52K-113K,52,113,82.5,Allendale, NJ,Shelton, CT,5001 - 10000,2015,Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",52,113,82.5,Edgewell Personal Care,NJ,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,Jr,M,82.5,M
46,Senior Data Scientist,110K-150K,110,150,130,Chicago, IL,Chicago, IL,1001 - 5000,1993,Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",110,150,130,Equity Residential,IL,60,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,data scientist,Sr,M,130,M
48,Data Scientist,150K-160K,150,160,155,Washington, DC,Alexandria, VA,unknown,-1,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,150,160,155,BPA Services,DC,34,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,na,155,M
49,Lead Data Scientist,158K-211K,158,211,184.5,Bellevue, WA,Foster City, CA,10000+,1958,Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",158,211,184.5,Visa Inc.,WA,49,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,data scientist,Sr,na,184.5,M
50,Associate Data Analyst,20K-39K,20,39,29.5,Longmont, CO,Omaha, NE,5001 - 10000,1986,Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,20,39,29.5,Intrado,CO,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,Jr,M,29.5,M
51,Spectral Scientist/Engineer,56K-117K,56,117,86.5,Beavercreek, OH,Chantilly, VA,501 - 1000,1999,Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",56,117,86.5,Centauri,OH,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,Jr,M,86.5,M
52,College Hire - Data Scientist - Open to December 2019 Graduates,63K-99K,63,99,81,Peoria, IL,Deerfield, IL,10000+,1925,Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",63,99,81,Caterpillar,IL,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,Jr,na,81,Fresher
54,Data Scientist,68K-114K,68,114,91,Fort Lauderdale, FL,Fort Lauderdale, FL,501 - 1000,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,68,114,91,Zimmerman Advertising,FL,54,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,Jr,na,91,P
55,"Data Scientist, Office of Data Science",86K-143K,86,143,114.5,Boston, MA,Boston, MA,10000+,1912,Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",86,143,114.5,Liberty Mutual Insurance,MA,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,na,114.5,M
56,Data Science Analyst,41K-95K,41,95,68,Huntsville, AL,Huntsville, AL,1001 - 5000,2002,Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,41,95,68,"Torch Technologies, Inc.",AL,46,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,Jr,na,68,Fresher
57,Data Scientist,86K-144K,86,144,115,Armonk, NY,Zurich, Switzerland,10000+,1863,Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",86,144,115,Swiss Re,NY,30,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,M,115,M
58,Data Scientist,80K-139K,80,139,109.5,San Diego, CA,Falls Church, VA,10000+,1939,Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,80,139,109.5,Northrop Grumman,CA,60,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,Jr,na,109.5,P
59,Data Scientist,56K-95K,56,95,75.5,Albuquerque, NM,Gottingen, Germany,5001 - 10000,1870,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,56,95,75.5,Sartorius,NM,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,M,75.5,M
60,Data Scientist,120K-189K,120,189,154.5,San Francisco, CA,Santa Clara, CA,501 - 1000,2012,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",120,189,154.5,Netskope,CA,31,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,data scientist,Sr,P,154.5,P
61,Data Scientist,111K-176K,111,176,143.5,Saint Louis, MO,Saint Louis, MO,51 - 200,2016,Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",111,176,143.5,1904labs,MO,54,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,data scientist,Sr,na,143.5,M
62,Data Scientist,54K-93K,54,93,73.5,Baltimore, MD,Baltimore, MD,501 - 1000,2008,Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,54,93,73.5,ClearOne Advantage,MD,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,na,73.5,Fresher
63,Data Scientist,71K-119K,71,119,95,Dallas, TX,Dallas, TX,201 - 500,2000,Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",71,119,95,CyrusOne,TX,39,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,Jr,na,95,P
65,Senior Data Scientist,82K-132K,82,132,107,Cincinnati, OH,Cincinnati, OH,201 - 500,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1,82,132,107,The David J. Joseph Company,OH,59,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,data scientist,Jr,M,107,M
66,Data Scientist,84K-146K,84,146,115,New York, NY,New York, NY,201 - 500,2011,Private,Consulting,Business Services,$10 to $25 million (USD),-1,84,146,115,USEReady,NY,19,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,Sr,na,115,M
67,Senior Risk Data Scientist,107K-172K,107,172,139.5,Palo Alto, CA,Palo Alto, CA,501 - 1000,2006,Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1,107,172,139.5,Bill.com,CA,21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,M,139.5,M
68,Data Scientist in Artificial Intelligence Early Career,49K-85K,49,85,67,Richland, WA,Richland, WA,1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",49,85,67,Pacific Northwest National Laboratory,WA,20,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,data scientist,Jr,M,67,M
70,Data Scientist,61K-109K,61,109,85,Coraopolis, PA,Coraopolis, PA,10000+,1948,Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",61,109,85,DICK'S Sporting Goods - Corporate,PA,55,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,Jr,M,85,M
72,Data Scientist,88K-148K,88,148,118,Framingham, MA,Framingham, MA,51 - 200,2006,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,88,148,118,Berg Health,MA,19,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,P,118,P
73,Data Scientist,60K-99K,60,99,79.5,Atlanta, GA,Atlanta, GA,51 - 200,2003,Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,60,99,79.5,Oversight Systems,GA,30,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,data scientist,Jr,na,79.5,Fresher
75,Data Scientist - Research,41K-72K,41,72,56.5,Boston, MA,Boston, MA,201 - 500,1999,Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",41,72,56.5,C Space,MA,39,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,Jr,na,56.5,Fresher
76,Data Scientist,96K-161K,96,161,128.5,Philadelphia, PA,Chadds Ford, PA,Jan-50,-1,Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,96,161,128.5,"Numeric, LLC",PA,57,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,Sr,na,128.5,M
77,R&D Data Analysis Scientist,65K-130K,65,130,97.5,Vancouver, WA,Palo Alto, CA,10000+,1939,Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,65,130,97.5,HP Inc.,WA,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,Jr,M,97.5,M
78,Analytics Consultant,52K-81K,52,81,66.5,Indianapolis, IN,Pleasanton, CA,Jan-50,2015,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,52,81,66.5,SpringML,IN,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data analitics,Jr,na,66.5,Fresher
79,"Director, Data Science",139K-220K,139,220,179.5,Lake Forest, IL,Lake Forest, IL,10000+,1927,Public,Wholesale,Business Services,$10+ billion (USD),-1,139,220,179.5,Grainger,IL,42,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,M,179.5,M
80,Scientist,50K-102K,50,102,76,Maryland Heights, MO,San Diego, CA,501 - 1000,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),-1,50,102,76,EAG Laboratories,MO,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,Jr,P,76,P
81,Data Scientist SR,85K-139K,85,139,112,Charlottesville, VA,Reston, VA,501 - 1000,2010,Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",85,139,112,The Buffalo Group,VA,53,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,Jr,M,112,M
82,Data Scientist,74K-122K,74,122,98,Pittsburgh, PA,Louvain-la-Neuve, Belgium,1001 - 5000,1860,Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",74,122,98,Carmeuse,PA,33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,data scientist,Jr,M,98,M
83,R&D Sr Data Scientist,99K-157K,99,157,128,Vancouver, WA,Palo Alto, CA,10000+,1939,Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,99,157,128,HP Inc.,WA,32,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,data scientist,Sr,M,128,M
84,Customer Data Scientist/Sales Engineer (Bay,79K-222K,79,222,150.5,Mountain View, CA,Mountain View, CA,201 - 500,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,79,222,150.5,h2o.ai,CA,37,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,data scientist,Sr,P,150.5,P
85,Research Scientist,57K-118K,57,118,87.5,Cambridge, MA,Cambridge, MA,51 - 200,2000,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,57,118,87.5,GNS Healthcare,MA,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,Jr,M,87.5,M
86,Data Scientist,83K-137K,83,137,110,Chantilly, VA,Herndon, VA,1001 - 5000,2017,Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,83,137,110,Peraton,VA,26,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,data scientist,Jr,na,110,P
87,Data Scientist,86K-141K,86,141,113.5,San Jose, CA,Beijing, China,10000+,1995,Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Infosys, EPAM, Accenture",86,141,113.5,Pactera,CA,37,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,Jr,na,113.5,P
88,Data Scientist,94K-154K,94,154,124,San Francisco, CA,San Francisco, CA,51 - 200,2016,Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,94,154,124,Nurx,CA,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,Sr,na,124,M
89,Jr. Business Data Analyst,37K-76K,37,76,56.5,Harrisburg, PA,Harrisburg, PA,201 - 500,1997,Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,37,76,56.5,webfx.com,PA,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,analyst,Jr,na,56.5,Fresher
